counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,51.8883,52.0864,52.0865,52.5866,52.5879,53.7855,m,1,1.1801,,[],[],[],[],[],[],[],1.1801,1,53.7857,54.2864,0,5,5,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,54.2876,54.4866,54.4867,54.9855,54.9865,56.0032,z,1,0.9976,,[],[],[],[],[],[],[],0.9976,1,56.0034,56.5031,0,6,6,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,56.5048,56.7032,56.7033,57.2031,57.2043,58.4696,m,1,1.2498,,[],[],[],[],[],[],[],1.2498,1,58.4699,58.9694,0,7,7,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,58.9707,59.1696,59.1696,59.6689,59.6696,60.3364,m,1,0.6474,,[],[],[],[],[],[],[],0.6474,1,60.3366,60.8369,0,8,8,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,60.8391,61.0364,61.0364,61.5364,61.5388,62.4029,z,1,0.8368,,[],[],[],[],[],[],[],0.8368,1,62.4033,62.9023,0,9,9,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,62.9063,63.102,63.1021,63.6027,63.6033,64.5528,z,1,0.9395,,[],[],[],[],[],[],[],0.9395,1,64.553,65.0526,0,10,10,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,65.0544,65.253,65.2531,65.7517,65.7527,66.4354,m,1,0.6765,,[],[],[],[],[],[],[],0.6765,1,66.4355,66.9351,0,11,11,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,66.9357,67.1363,67.1363,67.6355,67.6368,68.5685,z,1,0.9222,,[],[],[],[],[],[],[],0.9222,1,68.5685,69.0697,0,12,12,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,69.0712,69.2687,69.2688,69.769,69.7703,70.5529,z,1,0.7677,,[],[],[],[],[],[],[],0.7677,1,70.553,71.0531,0,13,13,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,71.0567,71.252,71.252,71.753,71.7537,72.5862,m,1,0.8164,,[],[],[],[],[],[],[],0.8164,1,72.5864,73.0865,0,14,14,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,73.088,73.2855,73.2855,73.7855,73.7863,74.47,z,1,0.6526,,[],[],[],[],[],[],[],0.6526,1,74.4702,74.9688,0,15,15,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9773,78.8532,space,3.8385,,-0.110805876,-0.246059783,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,78.8589,79.053,79.053,79.5521,,,,,,,,,,,,,,0.7705,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,1,1,79.5549,80.3367,z,1,0.7705,,[],[],[],[],[],[],[],80.337,82.3358,82.3361,85.9041,[],[],[],[],[],[],[],m,3.5525,,85.9047,85.9086,-0.110805876,-0.246059783,0,0,0,,0,0,0,8,1,1,RL,debave,print,debave_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,85.9134,86.1029,86.1031,86.602,,,,,,,,,,,,,,2.4957,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,2,0,86.6028,89.103,m,1,2.4957,,[],[],[],[],[],[],[],89.1032,91.1022,91.1023,91.1028,[],[],[],[],[],[],[],,,,91.1029,91.103,-0.110805876,-0.246059783,0,0,0,,0,1,1,124,1,1,word,NUMERICAL,print,numerical_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,91.106,91.3089,91.3089,91.8029,,,,,,,,,,,,,,1.217,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,3,0,91.804,93.0359,z,1,1.217,,[],[],[],[],[],[],[],93.0359,95.0362,95.0363,95.0364,[],[],[],[],[],[],[],,,,95.0365,95.0365,-0.110805876,-0.246059783,0,0,0,,0,2,2,47,1,1,TL,cagetory,print,cagetory_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,95.0375,95.236,95.236,95.7364,,,,,,,,,,,,,,1.0347,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,4,0,95.7374,96.7863,z,1,1.0347,,[],[],[],[],[],[],[],96.7864,98.7862,98.7864,98.7867,[],[],[],[],[],[],[],,,,98.7867,98.7868,-0.110805876,-0.246059783,0,0,0,,0,3,3,43,1,1,TL,bedise,print,bedise_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,98.7887,98.9853,98.9854,99.4862,,,,,,,,,,,,,,1.3755,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,5,1,99.4871,100.8697,m,0,1.3755,,[],[],[],[],[],[],[],100.8699,102.8696,102.8697,104.8361,[],[],[],[],[],[],[],z,1.9588,,104.8363,104.8366,-0.110805876,-0.246059783,0,0,0,,0,4,4,49,1,1,TL,clicinal,cursive,clicinal_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,104.8389,105.0363,105.0363,105.5356,,,,,,,,,,,,,,2.5532,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,6,1,105.5365,108.1025,m,0,2.5532,,[],[],[],[],[],[],[],108.1027,110.1031,110.1032,111.3693,[],[],[],[],[],[],[],z,1.2521,,111.3695,111.3695,-0.110805876,-0.246059783,0,0,0,,0,5,5,66,1,1,TL,panert,cursive,panert_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,111.3701,111.5687,111.5687,112.0687,,,,,,,,,,,,,,1.0364,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,7,0,112.0695,113.1196,m,1,1.0364,,[],[],[],[],[],[],[],113.1198,115.1195,115.1196,115.1199,[],[],[],[],[],[],[],,,,115.1199,115.1201,-0.110805876,-0.246059783,0,0,0,,0,6,6,133,1,1,word,PROVIDE,print,provide_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,115.1218,115.3196,115.3196,115.8196,,,,,,,,,,,,,,1.0531,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,8,1,115.8203,116.8859,z,1,1.0531,,[],[],[],[],[],[],[],116.886,118.8862,118.8862,119.7019,[],[],[],[],[],[],[],z,0.8038,,119.7021,119.7022,-0.110805876,-0.246059783,0,0,0,,0,7,7,44,1,1,TL,cateferia,cursive,cateferia_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,119.7037,119.9029,119.9029,120.403,,,,,,,,,,,,,,1.8236,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,9,0,120.4038,122.2362,m,1,1.8236,,[],[],[],[],[],[],[],122.2364,124.2361,124.2362,124.2364,[],[],[],[],[],[],[],,,,124.2365,124.2366,-0.110805876,-0.246059783,0,0,0,,0,8,8,154,1,1,word,STORAGE,cursive,storage_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,124.2383,124.4362,124.4363,124.9361,,,,,,,,,,,,,,1.4036,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,10,0,124.9372,126.3528,m,1,1.4036,,[],[],[],[],[],[],[],126.3531,128.3529,128.353,128.3534,[],[],[],[],[],[],[],,,,128.3535,128.3539,-0.110805876,-0.246059783,0,0,0,,0,9,9,93,1,1,word,CEREMONY,cursive,ceremony_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,128.357,128.5528,128.5529,129.0528,,,,,,,,,,,,,,1.1762,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,11,0,129.0537,130.2359,m,1,1.1762,,[],[],[],[],[],[],[],130.236,132.2362,132.2363,132.2366,[],[],[],[],[],[],[],,,,132.2367,132.237,-0.110805876,-0.246059783,0,0,0,,0,10,10,91,1,1,word,CARDINAL,print,cardinal_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,132.2388,132.4361,132.4362,132.9362,,,,,,,,,,,,,,0.9985,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,12,0,132.937,133.9364,z,1,0.9985,,[],[],[],[],[],[],[],133.9365,135.9359,135.9361,135.9362,[],[],[],[],[],[],[],,,,135.9362,135.9363,-0.110805876,-0.246059783,0,0,0,,0,11,11,36,1,1,RL,speniven,cursive,speniven_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,135.9374,136.1363,136.1363,136.6362,,,,,,,,,,,,,,0.8035,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,13,0,136.6372,137.4529,m,1,0.8035,,[],[],[],[],[],[],[],137.4529,139.4529,139.4529,139.4534,[],[],[],[],[],[],[],,,,139.4535,139.4538,-0.110805876,-0.246059783,0,0,0,,0,12,12,82,1,1,word,AMATEUR,print,amateur_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,139.4562,139.653,139.6531,140.1532,,,,,,,,,,,,,,0.8696,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,14,0,140.154,141.0362,m,1,0.8696,,[],[],[],[],[],[],[],141.0363,143.0362,143.0363,143.0366,[],[],[],[],[],[],[],,,,143.0366,143.0369,-0.110805876,-0.246059783,0,0,0,,0,13,13,86,1,1,word,BESIDE,print,beside_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,143.0382,143.236,143.2361,143.7361,,,,,,,,,,,,,,1.1217,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,15,0,143.7367,144.8696,m,1,1.1217,,[],[],[],[],[],[],[],144.8696,146.8695,146.8695,146.8697,[],[],[],[],[],[],[],,,,146.8698,146.87,-0.110805876,-0.246059783,0,0,0,,0,14,14,141,1,1,word,RELIGION,cursive,religion_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,146.8712,147.0694,147.0695,147.5694,,,,,,,,,,,,,,0.7537,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,16,0,147.5702,148.3362,m,1,0.7537,,[],[],[],[],[],[],[],148.3363,150.3361,150.3362,150.3365,[],[],[],[],[],[],[],,,,150.3366,150.3367,-0.110805876,-0.246059783,0,0,0,,0,15,15,85,1,1,word,BENEFIT,print,benefit_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,150.3388,150.5362,150.5362,151.0361,,,,,,,,,,,,,,1.2862,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,17,0,151.0369,152.336,z,1,1.2862,,[],[],[],[],[],[],[],152.3361,154.336,154.3362,154.3364,[],[],[],[],[],[],[],,,,154.3364,154.3365,-0.110805876,-0.246059783,0,0,0,,0,16,16,50,1,1,TL,condiser,cursive,condiser_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,154.338,154.5355,154.5356,155.0361,,,,,,,,,,,,,,0.9359,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,18,0,155.0367,155.9861,m,1,0.9359,,[],[],[],[],[],[],[],155.9861,157.9862,157.9862,157.9866,[],[],[],[],[],[],[],,,,157.9867,157.9868,-0.110805876,-0.246059783,0,0,0,,0,17,17,89,1,1,word,CAPACITY,print,capacity_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,157.9886,158.1861,158.1862,158.6862,,,,,,,,,,,,,,1.5081,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,19,0,158.6868,160.2027,z,0,1.5081,,[],[],[],[],[],[],[],160.2029,162.2028,162.2029,162.2031,[],[],[],[],[],[],[],,,,162.2031,162.2036,-0.110805876,-0.246059783,0,0,0,,0,18,18,105,1,1,word,EDITOR,cursive,editor_c.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,162.2053,162.4024,162.4024,162.8913,,,,,,,,,,,,,,0.746,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,20,0,162.8926,163.6527,m,1,0.746,,[],[],[],[],[],[],[],163.6528,165.6527,165.6527,165.653,[],[],[],[],[],[],[],,,,165.6531,165.6532,-0.110805876,-0.246059783,0,0,0,,0,19,19,83,1,1,word,ANIMAL,print,animal_p.png,,,
,,,,31697,001,2025-10-16_12h38.37.446,HW_LDT_1,2024.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,165.6549,165.8527,165.8527,166.3527,,,,,,,,,,,,,,1.0752,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,21,0,166.3533,167.4361,z,1,1.0752,,[],[],[],[],[],[],[],167.4362,169.4359,169.436,169.4364,[],[],[],[],[],[],[],,,,169.4365,169.4366,-0.110805876,-0.246059783,0,0,0,,0,20,20,78,1,1,TL,vecolity,print,vecolity_p.png,,,
