counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_touch.clicked_name,End.started,End.stopped
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,37.307,37.504,37.504,38.004,38.005,39.038,z,1,1.014,,[],[],[],[],[],[],[],1.014,1,39.039,39.538,0,5,5,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,39.543,39.737,39.737,40.237,40.24,41.038,m,1,0.781,,[],[],[],[],[],[],[],0.781,1,41.038,41.539,0,6,6,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,41.543,41.738,41.738,42.238,42.24,43.305,z,1,1.04,,[],[],[],[],[],[],[],1.04,1,43.305,43.805,0,7,7,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,43.807,44.005,44.005,44.504,44.507,45.637,m,1,1.09,,[],[],[],[],[],[],[],1.09,1,45.637,46.137,0,8,8,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,46.14,46.338,46.338,46.838,46.84,47.538,m,1,0.657,,[],[],[],[],[],[],[],0.657,1,47.538,48.038,0,9,9,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,48.041,48.237,48.237,48.738,48.74,49.571,z,1,0.788,,[],[],[],[],[],[],[],0.788,1,49.572,50.072,0,10,10,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,50.074,50.271,50.271,50.771,50.773,51.441,z,0,0.646,,[],[],[],[],[],[],[],0.646,0,51.444,51.937,0,11,11,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,51.94,52.138,52.138,52.638,52.641,53.972,m,1,1.303,,[],[],[],[],[],[],[],1.303,1,53.974,54.471,0,12,12,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,54.472,54.671,54.671,55.171,55.173,55.805,z,1,0.605,,[],[],[],[],[],[],[],0.605,1,55.805,56.304,0,13,13,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,56.307,56.505,56.505,57.004,57.005,58.071,z,1,1.037,,[],[],[],[],[],[],[],1.037,1,58.072,58.572,0,14,14,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,58.576,58.771,58.771,59.272,59.275,60.172,m,1,0.854,,[],[],[],[],[],[],[],0.854,1,60.172,60.671,0,15,15,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.69,80.709,space,19.982,,0.045555556,-0.395555556,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,80.765,80.91,80.91,81.406,,,,,,,,,,,,,,1.976,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,1,0,81.408,83.407,z,1,1.976,,[],[],[],[],[],[],[],83.407,85.406,85.407,85.426,[],[],[],[],[],[],[],,85.427,85.436,0.045555556,-0.395555556,0,0,0,,0,0,0,15,1,3,RL,mifikary,cursive,mifikary_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,85.437,85.639,85.639,86.138,,,,,,,,,,,,,,3.076,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,2,0,86.139,89.239,z,1,3.076,,[],[],[],[],[],[],[],89.24,91.24,91.24,91.242,[],[],[],[],[],[],[],,91.242,91.243,0.045555556,-0.395555556,0,0,0,,0,1,1,66,1,3,TL,retalive,cursive,retalive_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,91.248,91.439,91.439,91.939,,,,,,,,,,,,,,1.374,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,3,0,91.939,93.34,z,1,1.374,,[],[],[],[],[],[],[],93.34,95.34,95.34,95.34,[],[],[],[],[],[],[],,95.341,95.341,0.045555556,-0.395555556,0,0,0,,0,2,2,74,1,3,TL,spemicen,print,spemicen_p.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,95.343,95.539,95.539,96.04,,,,,,,,,,,,,,2.502,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,4,0,96.041,98.573,z,1,2.502,,[],[],[],[],[],[],[],98.574,100.573,100.573,100.574,[],[],[],[],[],[],[],,100.574,100.575,0.045555556,-0.395555556,0,0,0,,0,3,3,5,1,3,RL,capefory,cursive,capefory_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,100.578,100.773,100.773,101.273,,,,,,,,,,,,,,1.276,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,5,0,101.274,102.573,m,1,1.276,,[],[],[],[],[],[],[],102.573,104.574,104.575,104.576,[],[],[],[],[],[],[],,104.576,104.577,0.045555556,-0.395555556,0,0,0,,0,4,4,88,1,3,word,CAMERA,cursive,camera_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,104.579,104.774,104.774,105.274,,,,,,,,,,,,,,0.785,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,6,0,105.275,106.074,m,1,0.785,,[],[],[],[],[],[],[],106.074,108.073,108.073,108.073,[],[],[],[],[],[],[],,108.074,108.074,0.045555556,-0.395555556,0,0,0,,0,5,5,80,1,3,word,ACADEMY,print,academy_p.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,108.075,108.273,108.275,108.774,,,,,,,,,,,,,,0.787,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,7,0,108.775,109.574,m,1,0.787,,[],[],[],[],[],[],[],109.574,111.574,111.574,111.575,[],[],[],[],[],[],[],,111.575,111.576,0.045555556,-0.395555556,0,0,0,,0,6,6,116,1,3,word,MARGINAL,print,marginal_p.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,111.579,111.774,111.774,112.274,,,,,,,,,,,,,,0.604,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,8,0,112.275,112.907,m,1,0.604,,[],[],[],[],[],[],[],112.907,114.907,114.907,114.909,[],[],[],[],[],[],[],,114.909,114.909,0.045555556,-0.395555556,0,0,0,,0,7,7,135,1,3,word,QUALITY,print,quality_p.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,114.912,115.107,115.107,115.607,,,,,,,,,,,,,,0.886,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,9,0,115.608,116.507,m,1,0.886,,[],[],[],[],[],[],[],116.507,118.507,118.507,118.508,[],[],[],[],[],[],[],,118.508,118.508,0.045555556,-0.395555556,0,0,0,,0,8,8,107,1,3,word,EVIDENT,cursive,evident_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,118.511,118.707,118.707,119.207,,,,,,,,,,,,,,3.237,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,10,1,119.208,122.473,m,1,3.237,,[],[],[],[],[],[],[],122.474,124.474,124.474,127.841,[],[],[],[],[],[],[],z,127.841,127.842,0.045555556,-0.395555556,0,0,0,,0,9,9,109,1,3,word,GRATEFUL,cursive,grateful_c.png,3.341,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,127.845,128.041,128.041,128.541,,,,,,,,,,,,,,1.236,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,11,0,128.542,129.808,z,1,1.236,,[],[],[],[],[],[],[],129.808,131.808,131.808,131.809,[],[],[],[],[],[],[],,131.809,131.809,0.045555556,-0.395555556,0,0,0,,0,10,10,29,1,3,RL,selamor,cursive,selamor_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,131.812,132.008,132.008,132.508,,,,,,,,,,,,,,1.288,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,12,1,132.509,133.807,z,1,1.288,,[],[],[],[],[],[],[],133.807,135.808,135.808,137.408,[],[],[],[],[],[],[],m,137.408,137.408,0.045555556,-0.395555556,0,0,0,,0,11,11,73,1,3,TL,speficic,print,speficic_p.png,1.572,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,137.411,137.608,137.608,138.108,,,,,,,,,,,,,,1.639,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,13,0,138.109,139.775,z,1,1.639,,[],[],[],[],[],[],[],139.775,141.775,141.775,141.776,[],[],[],[],[],[],[],,141.776,141.776,0.045555556,-0.395555556,0,0,0,,0,12,12,79,1,3,TL,veretan,cursive,veretan_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,141.779,141.975,141.975,142.475,,,,,,,,,,,,,,2.986,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,14,0,142.476,145.475,z,1,2.986,,[],[],[],[],[],[],[],145.475,147.475,147.475,147.476,[],[],[],[],[],[],[],,147.476,147.476,0.045555556,-0.395555556,0,0,0,,0,13,13,14,1,3,RL,lofase,cursive,lofase_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,147.479,147.675,147.675,148.175,,,,,,,,,,,,,,2.388,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,15,1,148.176,150.575,z,1,2.388,,[],[],[],[],[],[],[],150.575,152.575,152.575,153.875,[],[],[],[],[],[],[],z,153.875,153.876,0.045555556,-0.395555556,0,0,0,,0,14,14,78,1,3,TL,vecolity,cursive,vecolity_c.png,1.279,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,153.878,154.074,154.075,154.575,,,,,,,,,,,,,,0.669,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,16,0,154.576,155.275,m,1,0.669,,[],[],[],[],[],[],[],155.276,157.274,157.275,157.275,[],[],[],[],[],[],[],,157.275,157.275,0.045555556,-0.395555556,0,0,0,,0,15,15,105,1,3,word,EDITOR,print,editor_p.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,157.278,157.476,157.476,157.975,,,,,,,,,,,,,,1.006,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,17,0,157.976,159.009,z,1,1.006,,[],[],[],[],[],[],[],159.009,161.008,161.008,161.009,[],[],[],[],[],[],[],,161.009,161.009,0.045555556,-0.395555556,0,0,0,,0,16,16,26,1,3,RL,repifion,print,repifion_p.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,161.012,161.209,161.209,161.708,,,,,,,,,,,,,,0.89,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,18,0,161.709,162.609,m,1,0.89,,[],[],[],[],[],[],[],162.609,164.609,164.609,164.61,[],[],[],[],[],[],[],,164.61,164.61,0.045555556,-0.395555556,0,0,0,,0,17,17,159,1,3,word,VETERAN,cursive,veteran_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,164.613,164.809,164.809,165.309,,,,,,,,,,,,,,1.536,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,19,0,165.31,166.876,z,1,1.536,,[],[],[],[],[],[],[],166.876,168.876,168.876,168.877,[],[],[],[],[],[],[],,168.877,168.877,0.045555556,-0.395555556,0,0,0,,0,18,18,11,1,3,RL,ebiwent,cursive,ebiwent_c.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,168.88,169.075,169.075,169.576,,,,,,,,,,,,,,1.053,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,20,0,169.577,170.643,z,1,1.053,,[],[],[],[],[],[],[],170.643,172.643,172.643,172.644,[],[],[],[],[],[],[],,172.644,172.644,0.045555556,-0.395555556,0,0,0,,0,19,19,18,1,3,RL,onegator,print,onegator_p.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,172.647,172.843,172.843,173.342,,,,,,,,,,,,,,0.77,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,21,0,173.343,174.143,z,1,0.77,,[],[],[],[],[],[],[],174.143,176.143,176.143,176.144,[],[],[],[],[],[],[],,176.144,176.144,0.045555556,-0.395555556,0,0,0,,0,20,20,67,1,3,TL,retome,print,retome_p.png,,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,176.146,176.343,176.343,176.843,,,,,,,,,,,,,,1.143,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,22,1,176.843,178.01,z,1,1.143,,[],[],[],[],[],[],[],178.01,180.01,180.01,182.076,[],[],[],[],[],[],[],m,182.077,182.077,0.045555556,-0.395555556,0,0,0,,0,21,21,45,1,3,TL,dentisy,print,dentisy_p.png,2.058,,,,
,,,,32092,001,2025-12-02_21h46.43.709,HW_LDT_1,2024.2.4,MacIntel,29.41176471,,,,,,,,,,,,,,,,,,,,,,182.082,182.276,182.276,182.775,,,,,,,,,,,,,,0.729,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,23,0,182.776,183.509,m,0,0.729,,[],[],[],[],[],[],[],183.51,185.51,185.51,185.51,[],[],[],[],[],[],[],,185.51,185.511,0.045555556,-0.395555556,0,0,0,,0,22,22,58,1,3,TL,nuremical,print,nuremical_p.png,,,,,
